SampleDate,Latitude,Longitude,Temperature,pH,Salinity,Dissolved Oxygen (mg/l),Dissolved Oxygen Saturation (%),Sampled By
30:00.0,53.33096,9.93188,12.8,NULL,33.72,9.82,113.2,Garvan O'Donnell
26:00.0,53.33097,9.93193,15.8,NULL,33.8,9.09,111.6,Margot Cronin
52:00.0,53.331042,9.9318016,15.4,NULL,34.9,8.73,107,Garvan O'Donnell
10:00.0,53.33096509,9.9319001,15.1,8.4,34.5,7.95,96,Garvan O'Donnell
38:00.0,53.3309837,9.9318952,13.5,8.15,NULL,10.24,97.6,Garvan O'Donnell
29:00.0,53.3308829,9.9318068,11.3,8.2,34.7,8.5,96.6,Garvan O'Donnell
28:00.0,53.3315086,9.9314861,9.6,NULL,32.9,9.7,102.4,Margot Cronin
45:00.0,53.331838,9.931834,9.3,NULL,33.4,9.47,102.3,Garvan O'Donnell
04:00.0,53.3315086,9.9314861,9.6,NULL,34.6,10,110,Margot Cronin
58:00.0,53.3318758,9.9320027,10.8,NULL,33.76,9.13,102.2,Garvan O'Donnell
16:00.0,53.33236063,9.931813963,11.1,NULL,33.8,9.7,109,Garvan O'Donnell
00:00.0,53.33151,9.93149,13.3,NULL,NULL,6.61,110.6,Margot Cronin
36:00.0,53.3317254,9.9314738,15.3,NULL,34.9,8.9,111,Margot Cronin
30:00.0,53.33111,9.93172,16.1,NULL,34.9,7.99,100.4,Margot Cronin
00:00.0,53.331776,9.931728,NULL,NULL,NULL,NULL,NULL,Margot Cronin
27:00.0,53.3317758,9.9317283,16.4,NULL,34.5,8.1,101.5,Margot Cronin
09:00.0,53.331567,9.931439,15.6,NULL,33.7,8.01,98.8,Garvan O'Donnell
16:00.0,53.33103,9.93199,15.9,NULL,32.1,8.26,101.6,Garvan O'Donnell
45:00.0,53.33103,9.93199,16,NULL,32.6,8.18,101,Garvan O'Donnell
30:00.0,53.33103,9.93199,16.1,NULL,32.6,8.21,101.5,Garvan O'Donnell
25:00.0,53.33103,9.93199,16.2,NULL,32.4,8.23,101.9,Garvan O'Donnell
10:00.0,53.31781074,9.982256927,16,NULL,32.7,8.26,102.1,Garvan O'Donnell
50:00.0,53.33103,9.93199,16.2,NULL,32.55,8.27,102.6,Garvan O'Donnell
30:00.0,53.33103,9.93199,16.1,NULL,32.7,8.25,102.2,Garvan O'Donnell
45:00.0,53.33103,9.93199,16.1,NULL,32.9,8.21,101.7,Garvan O'Donnell
30:00.0,53.33103,9.93199,16.4,NULL,32.7,8.31,103.5,Garvan O'Donnell
30:00.0,53.33103,9.93199,15.8,NULL,32.3,8.23,101.2,Garvan O'Donnell
30:00.0,53.33103,9.93199,15.8,NULL,32.1,8.26,101.4,Garvan O'Donnell
11:00.0,53.33170231,9.931902811,14.8,NULL,33.6,7.83,95.1,Garvan O'Donnell
00:00.0,53.33100693,9.931943044,13,NULL,31.7,NULL,NULL,Garvan O'Donnell
00:00.0,53.33,9.9,8.1,NULL,33.8,9.8,103.2,Margot Cronin
30:00.0,53.33102,9.93198,7.2,NULL,33.4,9.7,99.9,Margot Cronin
30:00.0,53.33102,9.93198,NULL,NULL,NULL,NULL,NULL,Margot Cronin
30:00.0,53.33102,9.93198,11.9,NULL,34.08,NULL,NULL,Garvan O'Donnell
13:00.0,53.33102,9.93198,11.6,NULL,35.2,8.75,100.4,Garvan O'Donnell
01:00.0,53.33102,9.93198,13.5,NULL,35.3,8.77,104,Margot Cronin
00:00.0,53.33102,9.93198,13.7,NULL,34.5,8.73,104.2,Garvan O'Donnell
39:00.0,53.33102,9.93198,NULL,NULL,NULL,NULL,NULL,Garvan O'Donnell
55:00.0,53.3299761,9.9331844,9.2,NULL,33.52,9.43,101,Margot Cronin
41:00.0,53.33046532,9.933493026,10.2,NULL,34.63,10.39,115.3,Garvan O'Donnell
38:00.0,53.3315191,9.932088554,13,7.67,34.06,9.07,105.7,Garvan O'Donnell
