time,station_id,sbe_temp_avg,gross_range_test,climatology_test,flat_line_test,rate_of_change_test,spike_test,attenuated_signal_test,aggregate
2020-01-01 00:00:00,Mace Head,8.7594,1,3,1,1,2,2,3.0
2020-01-01 00:30:00,Mace Head,8.7583,1,3,1,1,1,2,3.0
2020-01-01 01:00:00,Mace Head,8.7587,1,3,1,1,1,2,3.0
2020-01-01 01:30:00,Mace Head,8.758799,1,3,3,1,1,2,3.0
2020-01-01 02:00:00,Mace Head,8.7592,1,3,1,1,1,2,3.0
2020-01-01 02:30:00,Mace Head,8.7598,1,3,1,1,1,2,3.0
2020-01-01 03:00:00,Mace Head,8.7584,1,3,1,1,1,2,3.0
2020-01-01 03:30:00,Mace Head,8.7531,1,3,1,1,1,2,3.0
2020-01-01 04:00:00,Mace Head,8.7613,1,3,1,1,1,2,3.0
2020-01-01 04:30:00,Mace Head,8.7781,1,3,1,1,1,2,3.0
2020-01-01 05:00:00,Mace Head,8.787,1,3,1,1,1,2,3.0
2020-01-01 05:30:00,Mace Head,8.7789,1,3,1,1,1,2,3.0
2020-01-01 06:00:00,Mace Head,8.7726,1,3,1,1,1,2,3.0
2020-01-01 06:30:00,Mace Head,8.7797,1,3,1,1,1,2,3.0
2020-01-01 07:00:00,Mace Head,8.7771,1,3,1,1,1,2,3.0
2020-01-01 07:30:00,Mace Head,8.784799000000001,1,3,1,1,1,2,3.0
2020-01-01 08:00:00,Mace Head,8.7713,1,3,1,1,1,2,3.0
2020-01-01 08:30:00,Mace Head,8.7716,1,3,1,1,1,2,3.0
2020-01-01 09:00:00,Mace Head,8.7743,1,3,1,1,1,2,3.0
2020-01-01 09:30:00,Mace Head,8.7727,1,3,1,1,1,2,3.0
2020-01-01 10:00:00,Mace Head,8.773501,1,3,1,1,1,2,3.0
2020-01-01 10:30:00,Mace Head,8.7541,1,3,1,1,1,2,3.0
2020-01-01 11:00:00,Mace Head,8.7559,1,3,1,1,1,2,3.0
2020-01-01 11:30:00,Mace Head,8.7655,1,3,1,1,1,2,3.0
2020-01-01 12:00:00,Mace Head,8.7882,1,3,1,1,1,1,3.0
2020-01-01 12:30:00,Mace Head,8.794,1,3,1,1,1,1,3.0
2020-01-01 13:00:00,Mace Head,8.801,1,3,1,1,1,1,3.0
2020-01-01 13:30:00,Mace Head,8.8098,1,3,1,1,1,1,3.0
2020-01-01 14:00:00,Mace Head,8.812101,1,3,1,1,1,1,3.0
2020-01-01 14:30:00,Mace Head,8.812899,1,3,1,1,1,1,3.0
2020-01-01 15:00:00,Mace Head,8.812899,1,3,1,1,1,1,3.0
2020-01-01 15:30:00,Mace Head,8.8099,1,3,1,1,1,1,3.0
2020-01-01 16:00:00,Mace Head,8.8075,1,3,1,1,1,1,3.0
2020-01-01 16:30:00,Mace Head,8.8063,1,3,1,1,1,1,3.0
2020-01-01 17:00:00,Mace Head,8.8096,1,3,1,1,1,1,3.0
2020-01-01 17:30:00,Mace Head,8.812000000000001,1,3,1,1,1,1,3.0
2020-01-01 18:00:00,Mace Head,8.810001,1,3,1,1,1,1,3.0
2020-01-01 18:30:00,Mace Head,8.8063,1,3,1,1,1,1,3.0
2020-01-01 19:00:00,Mace Head,8.8033,1,3,1,1,1,1,3.0
2020-01-01 19:30:00,Mace Head,8.7943,1,3,1,1,1,1,3.0
2020-01-01 20:00:00,Mace Head,8.7865,1,3,1,1,1,1,3.0
2020-01-01 20:30:00,Mace Head,8.7811,1,3,1,1,1,1,3.0
2020-01-01 21:00:00,Mace Head,8.771401,1,3,1,1,1,1,3.0
2020-01-01 21:30:00,Mace Head,8.767000000000001,1,3,1,1,1,1,3.0
2020-01-01 22:00:00,Mace Head,8.7646,1,3,1,1,1,1,3.0
2020-01-01 22:30:00,Mace Head,8.7459,1,3,1,1,1,1,3.0
2020-01-01 23:00:00,Mace Head,8.753,1,3,1,1,1,1,3.0
2020-01-01 23:30:00,Mace Head,8.7675,1,3,1,1,1,1,3.0
2020-01-02 00:00:00,Mace Head,8.781299,1,3,1,1,1,1,3.0
2020-01-02 00:30:00,Mace Head,8.7916,1,3,1,1,1,1,3.0
2020-01-02 01:00:00,Mace Head,8.792,1,3,1,1,1,1,3.0
2020-01-02 01:30:00,Mace Head,8.792,1,3,3,1,1,1,3.0
2020-01-02 02:00:00,Mace Head,8.7831,1,3,1,1,1,1,3.0
2020-01-02 02:30:00,Mace Head,8.7934,1,3,1,1,1,1,3.0
2020-01-02 03:00:00,Mace Head,8.7997,1,3,1,1,1,1,3.0
2020-01-02 03:30:00,Mace Head,8.8007,1,3,1,1,1,1,3.0
2020-01-02 04:00:00,Mace Head,8.8104,1,3,1,1,1,1,3.0
2020-01-02 04:30:00,Mace Head,8.814299,1,3,1,1,1,1,3.0
2020-01-02 05:00:00,Mace Head,8.8153,1,3,1,1,1,1,3.0
2020-01-02 05:30:00,Mace Head,8.8181,1,3,1,1,1,1,3.0
2020-01-02 06:00:00,Mace Head,8.8194,1,3,1,1,1,1,3.0
2020-01-02 06:30:00,Mace Head,8.8214,1,3,1,1,1,1,3.0
2020-01-02 07:00:00,Mace Head,8.8253,1,3,1,1,1,1,3.0
2020-01-02 07:30:00,Mace Head,8.8263,1,3,1,1,1,1,3.0
2020-01-02 08:00:00,Mace Head,8.8286,1,3,1,1,1,1,3.0
2020-01-02 08:30:00,Mace Head,8.8285,1,3,1,1,1,1,3.0
2020-01-02 09:00:00,Mace Head,8.8292,1,3,1,1,1,1,3.0
2020-01-02 09:30:00,Mace Head,8.8278,1,3,1,1,1,1,3.0
2020-01-02 10:00:00,Mace Head,8.8233,1,3,1,1,1,1,3.0
2020-01-02 10:30:00,Mace Head,8.8109,1,3,1,1,1,1,3.0
2020-01-02 11:00:00,Mace Head,8.8064,1,3,1,1,1,1,3.0
2020-01-02 11:30:00,Mace Head,8.8075,1,3,1,1,1,1,3.0
2020-01-02 12:00:00,Mace Head,8.807901,1,3,1,1,1,1,3.0
2020-01-02 12:30:00,Mace Head,8.8059,1,3,1,1,1,1,3.0
2020-01-02 13:00:00,Mace Head,8.8053,1,3,1,1,1,1,3.0
2020-01-02 13:30:00,Mace Head,8.8055,1,3,1,1,1,1,3.0
2020-01-02 14:00:00,Mace Head,8.8102,1,3,1,1,1,1,3.0
2020-01-02 14:30:00,Mace Head,8.8104,1,3,1,1,1,1,3.0
2020-01-02 15:00:00,Mace Head,8.8154,1,3,1,1,1,1,3.0
2020-01-02 15:30:00,Mace Head,8.8238,1,3,1,1,1,1,3.0
2020-01-02 16:00:00,Mace Head,8.8273,1,3,1,1,1,1,3.0
2020-01-02 16:30:00,Mace Head,8.837,1,3,1,1,1,1,3.0
2020-01-02 17:00:00,Mace Head,8.8316,1,3,1,1,1,1,3.0
2020-01-02 17:30:00,Mace Head,8.8333,1,3,1,1,1,1,3.0
2020-01-02 18:00:00,Mace Head,8.8373,1,3,1,1,1,1,3.0
2020-01-02 18:30:00,Mace Head,8.844,1,3,1,1,1,1,3.0
2020-01-02 19:00:00,Mace Head,8.8481,1,3,1,1,1,1,3.0
2020-01-02 19:30:00,Mace Head,8.8477,1,3,1,1,1,1,3.0
2020-01-02 20:00:00,Mace Head,8.8441,1,3,1,1,1,1,3.0
2020-01-02 20:30:00,Mace Head,8.842399,1,3,1,1,1,1,3.0
2020-01-02 21:00:00,Mace Head,8.8355,1,3,1,1,1,1,3.0
2020-01-02 21:30:00,Mace Head,8.8299,1,3,1,1,1,1,3.0
2020-01-02 22:00:00,Mace Head,8.825499,1,3,1,1,1,1,3.0
2020-01-02 22:30:00,Mace Head,8.8272,1,3,1,1,1,1,3.0
2020-01-02 23:00:00,Mace Head,8.8194,1,3,1,1,1,1,3.0
2020-01-02 23:30:00,Mace Head,8.8134,1,3,1,1,1,1,3.0
2020-01-03 00:00:00,Mace Head,8.7872,1,3,1,1,1,1,3.0
2020-01-03 00:30:00,Mace Head,8.7833,1,3,1,1,1,1,3.0
2020-01-03 01:00:00,Mace Head,8.7849,1,3,1,1,1,1,3.0
2020-01-03 01:30:00,Mace Head,8.7755,1,3,1,1,1,1,3.0
2020-01-03 02:00:00,Mace Head,8.7557,1,3,1,1,1,1,3.0
2020-01-03 02:30:00,Mace Head,8.7437,1,3,1,1,1,1,3.0
2020-01-03 03:00:00,Mace Head,8.7514,1,3,1,1,1,1,3.0
2020-01-03 03:30:00,Mace Head,8.8041,1,3,1,1,1,1,3.0
2020-01-03 04:00:00,Mace Head,8.8052,1,3,1,1,1,1,3.0
2020-01-03 04:30:00,Mace Head,8.704001,1,3,1,1,1,1,3.0
2020-01-03 05:00:00,Mace Head,8.7094,1,3,1,1,1,1,3.0
2020-01-03 05:30:00,Mace Head,8.7015,1,3,1,1,1,1,3.0
2020-01-03 06:00:00,Mace Head,8.717,1,3,1,1,1,1,3.0
2020-01-03 06:30:00,Mace Head,8.7277,1,3,1,1,1,1,3.0
2020-01-03 07:00:00,Mace Head,8.7025,1,3,1,1,1,1,3.0
2020-01-03 07:30:00,Mace Head,8.695,1,3,1,1,1,1,3.0
2020-01-03 08:00:00,Mace Head,8.696999,1,3,1,1,1,1,3.0
2020-01-03 08:30:00,Mace Head,8.683601,1,3,1,1,1,1,3.0
2020-01-03 09:00:00,Mace Head,8.7072,1,3,1,1,1,1,3.0
2020-01-03 09:30:00,Mace Head,8.6902,1,3,1,1,1,1,3.0
2020-01-03 10:00:00,Mace Head,8.709,1,3,1,1,1,1,3.0
2020-01-03 10:30:00,Mace Head,8.7319,1,3,1,1,1,1,3.0
2020-01-03 11:00:00,Mace Head,8.7633,1,3,1,1,1,1,3.0
2020-01-03 11:30:00,Mace Head,8.769300999999999,1,3,1,1,1,1,3.0
2020-01-03 12:00:00,Mace Head,8.7612,1,3,1,1,1,1,3.0
2020-01-03 12:30:00,Mace Head,8.7554,1,3,1,1,1,1,3.0
2020-01-03 13:00:00,Mace Head,8.7527,1,3,1,1,1,1,3.0
2020-01-03 13:30:00,Mace Head,8.753199,1,3,1,1,1,1,3.0
2020-01-03 14:00:00,Mace Head,8.7463,1,3,1,1,1,1,3.0
2020-01-03 14:30:00,Mace Head,8.748,1,3,1,1,1,1,3.0
2020-01-03 15:00:00,Mace Head,8.7505,1,3,1,1,1,1,3.0
